PassengerId,Survived,Pclass,Name,Sex,Age,Ticket
1,0,3,"Braund, Mr. Owen Harris",male,22,A/5 21171
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,PC 17599
3,1,3,"Heikkinen, Miss. Laina",female,26,STON/O2. 3101282
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,113803
5,0,3,"Allen, Mr. William Henry",male,35,373450
6,0,3,"Moran, Mr. James",male,,330877
7,0,1,"McCarthy, Mr. Timothy J",male,54,17463
8,0,3,"Palsson, Master. Gosta Leonard",male,2,349909
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,347742
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,237736
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,PP 9549
12,1,1,"Bonnell, Miss. Elizabeth",female,58,113783
13,0,3,"Saundercock, Mr. William Henry",male,20,A/5. 2151
14,0,3,"Andersson, Mr. Anders Johan",male,39,347082
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,350406
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,248706
17,0,3,"Rice, Master. Eugene",male,2,382652
18,1,2,"Williams, Mr. Charles Eugene",male,,244373
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,345763
20,1,3,"Masselmani, Mrs. Fatima",female,,2649
21,0,2,"Fynney, Mr. Joseph J",male,35,239865
22,1,2,"Beesley, Mr. Lawrence",male,34,248698
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,330923
24,1,1,"Sloper, Mr. William Thompson",male,28,113788
25,0,3,"Palsson, Miss. Torborg Danira",female,8,349909
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,347077
27,0,3,"Emir, Mr. Farred Chehab",male,,2631
28,0,1,"Fortune, Mr. Charles Alexander",male,19,19950
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,330959
30,0,3,"Todoroff, Mr. Lalio",male,,349216
31,0,1,"Uruchurtu, Don. Manuel E",male,40,PC 17601
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,PC 17569
33,1,3,"Glynn, Miss. Mary Agatha",female,,335677
34,0,2,"Wheadon, Mr. Edward H",male,66,C.A. 24579
35,0,1,"Meyer, Mr. Edgar Joseph",male,28,PC 17604
36,0,1,"Holverson, Mr. Alexander Oskar",male,42,113789
37,1,3,"Mamee, Mr. Hanna",male,,2677
38,0,3,"Cann, Mr. Ernest Charles",male,21,A./5. 2152
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,345764
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,2651
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,7546
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,11668
43,0,3,"Kraeff, Mr. Theodor",male,,349253
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,SC/Paris 2123
45,1,3,"Devaney, Miss. Margaret Delia",female,19,330958
46,0,3,"Rogers, Mr. William John",male,,S.C./A.4. 23567
47,0,3,"Lennon, Mr. Denis",male,,370371
48,1,3,"O'Driscoll, Miss. Bridget",female,,14311
49,0,3,"Samaan, Mr. Youssef",male,,2662
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,349237
51,0,3,"Panula, Master. Juha Niilo",male,7,3101295
52,0,3,"Nosworthy, Mr. Richard Cater",male,21,A/4. 39886
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,PC 17572
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,2926
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,113509
56,1,1,"Woolner, Mr. Hugh",male,,19947
57,1,2,"Rugg, Miss. Emily",female,21,C.A. 31026
58,0,3,"Novel, Mr. Mansouer",male,28.5,2697
59,1,2,"West, Miss. Constance Mirium",female,5,C.A. 34651
60,0,3,"Goodwin, Master. William Frederick",male,11,CA 2144
61,0,3,"Sirayanian, Mr. Orsen",male,22,2669
62,1,1,"Icard, Miss. Amelie",female,38,113572
63,0,1,"Harris, Mr. Henry Birkhardt",male,45,36973
64,0,3,"Skoog, Master. Harald",male,4,347088
65,0,1,"Stewart, Mr. Albert A",male,,PC 17605
66,1,3,"Moubarek, Master. Gerios",male,,2661
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,C.A. 29395
